ANIMAL	YEAR	SEX	CAP_TRAP	RS	MS	SVL	BCI_RESID
13BTS598	2017	F	5	0	0	1005	-0.045
13BTS067	2007	F	0	0	0	1006.286	-0.138
13BTS081	2009	F	0	0	0	1006.333	-0.115
13BTS370	2016	F	0	0	0	1007.6	-0.144
13BTS346	2016	F	0	0	0	1007.625	-0.067
13BTS119	2009	F	9	0	0	1007.75	0.534
13BTS032	2010	F	0	0	0	1008	0.21
13BTS120	2009	F	10	3	1	1009	0.475
13BTS429	2016	F	13	1	1	1009.25	-0.138
13BTS371	2016	F	0	0	0	1009.714	0.056
13BTS223	2013	F	0	0	0	1010	0.15
13BTS388	2017	F	0	0	0	1010	-0.069
13BTS261	2012	F	1	0	0	1010.286	-0.012
13BTS413	2016	F	0	0	0	1010.5	-0.049
13BTS439	2016	F	5	2	1	1010.667	-0.087
13BTS117	2009	F	1	0	0	1010.833	0.29
13BTS346	2017	F	3	0	0	1011.833	0.034
13BTS514	2018	F	0	0	0	1012.2	0.175
13BTS016	2009	F	12	2	1	1012.571	0.3
13BTS395	2017	F	3	0	0	1013.188	-0.051
13BTS053	2009	F	0	0	0	1013.6	-0.016
13BTS566	2017	F	0	0	0	1013.813	-0.171
13BTS053	2010	F	0	0	0	1015	0.197
13BTS020	2008	F	4	0	0	1015.75	-0.13
13BTS407	2016	F	3	0	0	1015.8	-0.062
13BTS278	2013	F	6	2	1	1015.833	0.179
13BTS065	2009	F	14	4	3	1016.286	0.454
13BTS204	2013	F	2	1	1	1016.5	-0.026
13BTS235	2013	F	0	1	1	1017	0.09
13BTS338	2018	F	0	0	0	1017.75	0.011
13BTS332	2015	F	1	0	0	1018.2	-0.147
13BTS013	2009	F	6	5	2	1019	0.432
13BTS571	2017	F	3	0	0	1019.125	-0.095
13BTS317	2013	F	1	1	1	1020	-0.148
13BTS020	2009	F	1	2	2	1020.333	0.279
13BTS020	2007	F	10	2	2	1021.833	-0.203
13BTS114	2009	F	1	1	1	1022	0.316
13BTS409	2016	F	0	0	0	1022.167	-0.053
13BTS540	2015	F	6	0	0	1022.5	-0.181
13BTS296	2013	F	5	1	1	1022.571	-0.076
13BTS232	2012	F	0	0	0	1023	0.152
13BTS540	2016	F	0	0	0	1023.7	-0.181
13BTS532	2017	F	3	0	0	1023.727	-0.012
13BTS239	2017	F	3	0	0	1024.167	-0.214
13BTS556	2016	F	0	0	0	1024.2	0.031
13BTS075	2009	F	5	5	3	1024.25	0.239
13BTS430	2016	F	0	0	0	1024.5	-0.208
13BTS305	2011	F	1	0	0	1025	-0.073
13BTS395	2018	F	0	0	0	1025.333	0.022
13BTS525	2017	F	7	0	0	1025.667	-0.056
13BTS050	2009	F	5	1	1	1025.833	0.182
13BTS239	2015	F	5	0	0	1026	-0.067
13BTS255	2016	F	5	0	0	1026	-0.396
13BTS287	2012	F	0	0	0	1026	0.16
13BTS540	2017	F	2	0	0	1026.476	-0.116
13BTS064	2010	F	0	3	1	1027	0.17
13BTS182	2011	F	0	0	0	1027	-0.082
13BTS407	2017	F	0	0	0	1027.286	-0.162
13BTS400	2017	F	2	0	0	1027.5	-0.042
13BTS272	2012	F	3	1	1	1027.667	0.028
13BTS003	2010	F	0	3	3	1029.333	0.077
13BTS082	2006	F	8	1	1	1029.75	0.288
13BTS083	2009	F	1	0	0	1029.75	0.065
13BTS417	2016	F	0	0	0	1031.5	0.097
13BTS621	2016	F	0	0	0	1031.714	-0.089
13BTS239	2016	F	1	0	0	1032.5	-0.204
13BTS223	2015	F	1	0	0	1033	-0.032
13BTS324	2017	F	0	0	0	1033	-0.473
13BTS566	2018	F	0	0	0	1033	-0.05
13BTS429	2017	F	0	0	0	1033.15	-0.249
13BTS324	2016	F	0	0	0	1033.333	-0.382
13BTS107	2011	F	11	0	0	1033.5	-0.283
13BTS079	2008	F	18	0	0	1035.4	-0.112
13BTS362	2016	F	0	0	0	1035.833	-0.061
13BTS042	2010	F	0	0	0	1036	0.233
13BTS439	2017	F	0	0	0	1036.077	-0.184
13BTS369	2017	F	3	0	0	1036.333	0.019
13BTS255	2015	F	1	0	0	1036.5	-0.159
13BTS080	2009	F	1	1	1	1037.714	0.345
13BTS111	2009	F	0	1	1	1038.6	0.469
13BTS039	2009	F	0	3	2	1038.857	0.381
13BTS096	2010	F	1	0	0	1039.143	0.076
13BTS422	2018	F	0	0	0	1039.667	0.118
13BTS243	2013	F	2	0	0	1040.5	0.14
13BTS010	2009	F	4	0	0	1041	0.379
13BTS540	2018	F	0	0	0	1042	-0.15
13BTS004	2009	F	0	0	0	1042.25	0.276
13BTS117	2011	F	9	0	0	1042.5	-0.055
13BTS371	2017	F	6	0	0	1042.667	0.105
13BTS038	2010	F	1	1	1	1043	-0.006
13BTS409	2017	F	9	0	0	1043.304	-0.095
13BTS549	2018	F	0	0	0	1044	0.1
13BTS070	2010	F	1	0	0	1045.4	0.08
13BTS096	2011	F	0	0	0	1046	0.049
13BTS317	2015	F	0	0	0	1046	-0.086
13BTS117	2010	F	0	1	1	1046.75	0.148
13BTS081	2010	F	1	2	1	1047	0
13BTS429	2018	F	0	0	0	1048	-0.157
13BTS621	2017	F	0	0	0	1048	-0.196
13BTS557	2016	F	0	0	0	1049	-0.123
13BTS109	2010	F	0	0	0	1050	0.116
13BTS079	2007	F	49	0	0	1050.5	-0.189
13BTS067	2008	F	2	0	0	1051.5	-0.085
13BTS557	2017	F	2	0	0	1052.25	-0.068
13BTS026	2006	F	0	0	0	1052.75	-0.023
13BTS048	2010	F	0	1	1	1053.25	0.132
13BTS070	2011	F	0	0	0	1054	0.035
13BTS193	2012	F	2	1	1	1054	0.073
13BTS016	2010	F	0	0	0	1055	0.346
13BTS038	2011	F	12	0	0	1055	-0.147
13BTS242	2013	F	1	0	0	1057	0.158
13BTS033	2010	F	1	3	2	1057.5	0.06
13BTS413	2017	F	11	0	0	1058.321	-0.042
13BTS294	2015	F	2	0	0	1058.333	-0.238
13BTS063	2010	F	1	0	0	1058.4	0.174
13BTS189	2012	F	4	7	1	1058.571	0.292
13BTS125	2010	F	0	3	3	1060	0.418
13BTS409	2018	F	0	0	0	1060	-0.047
13BTS026	2008	F	0	0	0	1061	-0.049
13BTS115	2009	F	0	1	1	1061	0.31
13BTS093	2009	F	0	0	0	1061.333	0.513
13BTS320	2016	F	0	0	0	1062.3	0.022
13BTS197	2010	F	1	0	0	1062.333	0
13BTS125	2009	F	3	1	1	1062.75	0.302
13BTS261	2013	F	0	0	0	1063	0.063
13BTS440	2017	F	16	0	0	1063	0.008
13BTS083	2010	F	0	0	0	1063.75	0.181
13BTS098	2009	F	4	1	1	1064.25	0.309
13BTS067	2009	F	0	0	0	1064.4	0.042
13BTS109	2011	F	6	0	0	1065	-0.069
13BTS235	2016	F	1	0	0	1065	-0.094
13BTS063	2011	F	0	0	0	1067	-0.153
13BTS197	2011	F	0	0	0	1067	-0.1
13BTS368	2016	F	0	1	1	1067.667	-0.025
13BTS207	2012	F	0	2	1	1069	0.433
13BTS370	2017	F	1	0	0	1069.091	-0.089
13BTS332	2016	F	0	0	0	1070	-0.188
13BTS082	2008	F	0	0	0	1072	-0.135
13BTS414	2016	F	0	0	0	1072	-0.019
13BTS033	2011	F	5	0	0	1073	-0.082
13BTS460	2016	F	0	0	0	1073	0.243
13BTS556	2018	F	0	0	0	1074.333	0.01
13BTS556	2017	F	10	0	0	1075.136	-0.024
13BTS417	2017	F	0	0	0	1075.2	0.257
13BTS082	2009	F	20	2	1	1075.636	0.278
13BTS332	2017	F	3	0	0	1077.2	-0.146
13BTS081	2011	F	0	0	0	1077.333	-0.13
13BTS060	2009	F	1	1	1	1077.5	0.488
13BTS370	2018	F	0	0	0	1077.5	0.016
13BTS413	2018	F	0	0	0	1078.8	0.17
13BTS082	2007	F	30	3	2	1079.778	-0.107
13BTS320	2017	F	2	0	0	1080.222	0.065
13BTS059	2010	F	1	0	0	1080.667	0.105
13BTS235	2015	F	5	0	0	1083.75	-0.109
13BTS059	2011	F	18	0	0	1084	0.057
13BTS009	2010	F	0	2	1	1084.333	0.238
13BTS100	2011	F	9	0	0	1084.5	-0.044
13BTS100	2010	F	0	0	0	1085.5	0.175
13BTS308	2013	F	3	0	0	1086	-0.022
13BTS381	2016	F	0	0	0	1086.167	-0.108
13BTS382	2016	F	10	0	0	1088	0.044
13BTS290	2015	F	5	0	0	1088.4	-0.113
13BTS026	2007	F	1	0	0	1088.5	-0.055
13BTS270	2013	F	2	3	2	1089.5	0.165
13BTS020	2010	F	0	0	0	1089.833	0.04
13BTS414	2017	F	8	0	0	1089.857	-0.028
13BTS159	2012	F	1	3	2	1091.25	0.186
13BTS294	2016	F	0	0	0	1092.75	-0.022
13BTS440	2018	F	0	0	0	1093.5	0.03
13BTS055	2010	F	1	0	0	1093.6	0.203
13BTS317	2016	F	0	0	0	1094.333	0.071
13BTS115	2010	F	4	1	1	1095	0.141
13BTS382	2017	F	0	0	0	1096.647	-0.033
13BTS055	2011	F	2	0	0	1097	-0.154
13BTS178	2013	F	12	0	0	1097.5	0.198
13BTS191	2013	F	3	2	1	1097.667	0.315
13BTS089	2010	F	0	0	0	1098	0.406
13BTS430	2017	F	0	0	0	1098.167	-0.077
13BTS430	2018	F	0	0	0	1100	0.069
13BTS026	2009	F	13	0	0	1100.2	0.013
13BTS056	2009	F	2	0	0	1102.25	0.097
13BTS062	2010	F	0	0	0	1104.5	0.223
13BTS026	2010	F	0	0	0	1105.25	0.064
13BTS278	2015	F	4	0	0	1106	0.133
13BTS242	2015	F	1	0	0	1106.75	-0.172
13BTS079	2009	F	1	2	1	1107.2	0.434
13BTS368	2017	F	0	0	0	1108.714	0.119
13BTS261	2015	F	0	0	0	1109.5	-0.154
13BTS020	2011	F	4	0	0	1110	-0.232
13BTS189	2013	F	2	1	1	1110.25	0.166
13BTS050	2010	F	0	0	0	1112	0.281
13BTS261	2016	F	2	1	1	1112	-0.348
13BTS294	2017	F	11	0	0	1114.115	-0.134
13BTS134	2012	F	3	2	1	1115.75	0.327
13BTS029	2010	F	1	1	1	1116	0.065
13BTS013	2010	F	0	0	0	1117.333	0.237
13BTS029	2011	F	6	0	0	1118	-0.054
13BTS119	2010	F	0	1	1	1119	0.245
13BTS133	2010	F	0	3	2	1121.5	0.186
13BTS174	2012	F	8	7	2	1122	0.363
13BTS287	2013	F	3	3	2	1122	-0.009
13BTS339	2013	F	2	2	1	1123	0.052
13BTS015	2010	F	0	3	1	1124	-0.077
13BTS044	2010	F	0	0	0	1124	0.527
13BTS294	2018	F	1	0	0	1124	-0.338
13BTS414	2018	F	0	0	0	1125	-0.051
13BTS060	2011	F	2	0	0	1127	-0.035
13BTS114	2010	F	0	1	1	1127	0.025
13BTS080	2010	F	0	0	0	1127.75	0.059
13BTS417	2018	F	0	0	0	1128	0.048
13BTS079	2011	F	12	0	0	1130	-0.104
13BTS189	2015	F	1	0	0	1131.8	-0.039
