ID	FATHER	MOTHER
13BTS149	13BTS031	13BTS082
13BTS151	13BTS002	F0044
13BTS156	13BTS087	13BTS060
13BTS157	13BTS041	13BTS065
13BTS158	13BTS086	F0028
13BTS159	13BTS002	F0022
13BTS165	M0019	F0034
13BTS167	13BTS073	F0008
13BTS170	13BTS086	F0028
13BTS171	13BTS069	F0036
13BTS173	13BTS102	F0037
13BTS174	13BTS069	F0002
13BTS175	13BTS101	F0018
13BTS176	13BTS031	13BTS039
13BTS177	13BTS069	13BTS033
13BTS178	13BTS102	13BTS013
13BTS179	13BTS069	13BTS065
13BTS180	13BTS073	F0008
13BTS181	13BTS037	13BTS020
13BTS183	13BTS031	13BTS082
13BTS184	13BTS002	F0031
13BTS185	13BTS091	13BTS013
13BTS186	13BTS068	13BTS039
13BTS189	13BTS069	F0002
13BTS191	13BTS086	13BTS080
13BTS192	13BTS073	13BTS079
13BTS194	13BTS073	13BTS197
13BTS195	13BTS102	13BTS013
13BTS201	13BTS069	13BTS111
13BTS202	13BTS031	F0045
13BTS205	13BTS102	13BTS013
13BTS210	13BTS073	F0008
13BTS215	13BTS037	13BTS055
13BTS216	13BTS036	13BTS115
13BTS219	M0019	F0034
13BTS220	13BTS069	13BTS012
13BTS221	13BTS101	13BTS133
13BTS224	13BTS069	13BTS020
13BTS225	13BTS031	13BTS109
13BTS226	13BTS037	F0022
13BTS231	13BTS101	F0018
13BTS234	13BTS073	13BTS075
13BTS238	13BTS073	13BTS079
13BTS240	13BTS101	NA
13BTS255	13BTS101	13BTS009
13BTS267	13BTS084	F0016
13BTS270	13BTS031	F0006
13BTS272	13BTS101	NA
13BTS273	13BTS091	13BTS065
13BTS274	13BTS091	13BTS065
13BTS298	13BTS002	F0031
13BTS304	13BTS002	F0022
13BTS308	13BTS077	13BTS114
13BTS318	13BTS054	NA
13BTS138	13BTS072	13BTS064
13BTS150	13BTS031	13BTS115
13BTS187	13BTS101	13BTS133
13BTS196	13BTS101	13BTS035
13BTS199	13BTS101	13BTS038
13BTS200	13BTS024	13BTS003
13BTS203	13BTS101	13BTS010
13BTS204	13BTS084	13BTS125
13BTS206	13BTS102	13BTS125
13BTS217	13BTS101	13BTS009
13BTS218	13BTS031	13BTS079
13BTS223	13BTS101	NA
13BTS227	13BTS031	13BTS056
13BTS230	13BTS051	13BTS003
13BTS236	NA	13BTS065
13BTS237	13BTS073	13BTS060
13BTS239	13BTS072	13BTS064
13BTS242	13BTS101	13BTS010
13BTS244	13BTS101	13BTS009
13BTS246	13BTS073	13BTS060
13BTS247	13BTS101	13BTS010
13BTS249	13BTS031	13BTS021
13BTS254	13BTS072	13BTS064
13BTS257	13BTS046	13BTS133
13BTS260	13BTS101	F0003
13BTS265	13BTS087	13BTS049
13BTS268	13BTS054	13BTS010
13BTS269	13BTS052	13BTS010
13BTS278	13BTS086	13BTS048
13BTS280	13BTS091	13BTS065
13BTS281	13BTS037	13BTS125
13BTS283	13BTS077	13BTS114
13BTS284	13BTS046	NA
13BTS285	13BTS046	13BTS133
13BTS287	13BTS073	13BTS060
13BTS291	13BTS058	13BTS033
13BTS295	13BTS058	13BTS033
13BTS296	13BTS031	NA
13BTS297	13BTS101	F0003
13BTS299	13BTS101	13BTS010
13BTS315	13BTS058	F0002
13BTS317	13BTS058	13BTS081
13BTS322	13BTS037	NA
13BTS325	13BTS058	13BTS081
13BTS334	13BTS102	13BTS029
13BTS540	13BTS121	13BTS033
13BTS553	13BTS031	13BTS056
